TABREF JENIS_KURSUS_ID,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
8B91B70E3BA312E5E050640A29034DA5,DIKLAT FUNGSIONAL ANALIS PERTAHANAN NEGARA,,,,,,
8B91B70E3C1012E5E050640A29034DA5,DIKLAT FUNGSIONAL ANALIS TRANSAKSI KEUANGAN,,,,,,
8B91B70E3B7312E5E050640A29034DA5,DIKLAT FUNGSIONAL ANALISIS ANGGARAN,,,,,,
8B91B70E3B6A12E5E050640A29034DA5,DIKLAT FUNGSIONAL ANALISIS KEIMIGRASIAN,,,,,,
8B91B70E3B7412E5E050640A29034DA5,DIKLAT FUNGSIONAL ANALISIS KEUANGAN PUSAT DAN DAERAH,,,,,,
8B91B70E3BDD12E5E050640A29034DA5,DIKLAT FUNGSIONAL ANALISIS PASAR HASIL PERIKANAN,,,,,,
8B91B70E3B8812E5E050640A29034DA5,DIKLAT FUNGSIONAL ANALISIS PASAR HASIL PERTANIAN,,,,,,
8B91B70E3BAD12E5E050640A29034DA5,DIKLAT FUNGSIONAL APOTEKER,,,,,,
8B91B70E3C0712E5E050640A29034DA5,DIKLAT FUNGSIONAL ARSIPARIS,,,,,,
8B91B70E3B8712E5E050640A29034DA5,DIKLAT FUNGSIONAL ASESOR MANAJEMEN MUTU INDUSTRI,,,,,,
8B91B70E3B6B12E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEM PEMBIMBING KEMASYARAKATAN,,,,,,
8B91B70E3BAE12E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN APOTEKER,,,,,,
8B91B70E3BE212E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN INSPEKTUR MUTU HASIL PERIKANAN,,,,,,
8B91B70E3BEF12E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN PELATIH OLAHRAGA,,,,,,
8B91B70E3BE312E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN PEMBINA MUTU HASIL KELAUTAN DAN PERIKANAN,,,,,,
8B91B70E3BC812E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN PENATA ANESTESI,,,,,,
8B91B70E3BDF12E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN PENGELOLA PRODUKSI PERIKANAN TANGKAP,,,,,,
8B91B70E3BEC12E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN PENGUJI PERANGKAT TELEKOMUNIKASI,,,,,,
8B91B70E3B7B12E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN PENILAI PAJAK,,,,,,
8B91B70E3C0F12E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN PERISALAH LEGISLATIF,,,,,,
8B91B70E3BE612E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN PRANATA SIARAN,,,,,,
8B91B70E3BE712E5E050640A29034DA5,DIKLAT FUNGSIONAL ASISTEN TEKNISI SIARAN,,,,,,
8B91B70E3BFB12E5E050640A29034DA5,DIKLAT FUNGSIONAL ASSESSOR SDM APARATUR,,,,,,
8B91B70E3BF712E5E050640A29034DA5,DIKLAT FUNGSIONAL AUDITOR,,,,,,
8B91B70E3BFC12E5E050640A29034DA5,DIKLAT FUNGSIONAL AUDITOR KEPEGAWAIAN,,,,,,
8B91B70E3BAF12E5E050640A29034DA5,DIKLAT FUNGSIONAL BIDAN,,,,,,
8B8231F908BC414AE050640A2903466B,DIKLAT FUNGSIONAL DIPLOMAT,,,,,,
8B91B70E3BB012E5E050640A29034DA5,DIKLAT FUNGSIONAL DOKTER,,,,,,
8B91B70E3BB112E5E050640A29034DA5,DIKLAT FUNGSIONAL DOKTER GIGI,,,,,,
8B91B70E3B9512E5E050640A29034DA5,DIKLAT FUNGSIONAL DOKTER HEWAN KARANTINA,,,,,,
8B91B70E3BB212E5E050640A29034DA5,DIKLAT FUNGSIONAL DOKTER PENDIDIK KLINIS,,,,,,
8B91B70E3BAB12E5E050640A29034DA5,DIKLAT FUNGSIONAL DOSEN,,,,,,
8B91B70E3BB412E5E050640A29034DA5,DIKLAT FUNGSIONAL ENTOMOLOG KESEHATAN,,,,,,
8B91B70E3BB312E5E050640A29034DA5,DIKLAT FUNGSIONAL EPIDEMIOLOG KESEHATAN,,,,,,
8B91B70E3BB612E5E050640A29034DA5,DIKLAT FUNGSIONAL FISIKAWAN MEDIS,,,,,,
8B91B70E3BB512E5E050640A29034DA5,DIKLAT FUNGSIONAL FISIOTERAPIS,,,,,,
8B91B70E3BA412E5E050640A29034DA5,DIKLAT FUNGSIONAL GURU,,,,,,
8B91B70E3B9712E5E050640A29034DA5,DIKLAT FUNGSIONAL INSPEKTUR KETENAGALISTRIKAN,,,,,,
8B91B70E3B9812E5E050640A29034DA5,DIKLAT FUNGSIONAL INSPEKTUR MINYAK DAN GAS BUMI,,,,,,
8B91B70E3BE412E5E050640A29034DA5,DIKLAT FUNGSIONAL INSPEKTUR MUTU HASIL PERIKANAN,,,,,,
8B91B70E3B9912E5E050640A29034DA5,DIKLAT FUNGSIONAL INSPEKTUR TAMBANG,,,,,,
8B91B70E3BCC12E5E050640A29034DA5,DIKLAT FUNGSIONAL INSTRUKTUR,,,,,,
8B91B70E3BF012E5E050640A29034DA5,DIKLAT FUNGSIONAL JAKSA,,,,,,
8B91B70E3BA212E5E050640A29034DA5,DIKLAT FUNGSIONAL KATALOGER,,,,,,
8B91B70E3BCF12E5E050640A29034DA5,DIKLAT FUNGSIONAL MEDIATOR HUBUNGAN INDUSTRIAL,,,,,,
8B91B70E3B8912E5E050640A29034DA5,DIKLAT FUNGSIONAL MEDIK VETERINER,,,,,,
8B91B70E3BB712E5E050640A29034DA5,DIKLAT FUNGSIONAL NUTRISIONIS,,,,,,
8B91B70E3BB812E5E050640A29034DA5,DIKLAT FUNGSIONAL OKUPASI TERAPIS,,,,,,
8B91B70E3B8012E5E050640A29034DA5,DIKLAT FUNGSIONAL OPERATOR SIAK,,,,,,
8B91B70E3BF112E5E050640A29034DA5,DIKLAT FUNGSIONAL OPERATOR TRANSMISI SANDI,,,,,,
8B91B70E3BB912E5E050640A29034DA5,DIKLAT FUNGSIONAL ORTHOTIS PROSTETIS,,,,,,
8B91B70E3BA512E5E050640A29034DA5,DIKLAT FUNGSIONAL PAMONG BELAJAR,,,,,,
8B91B70E3BA612E5E050640A29034DA5,DIKLAT FUNGSIONAL PAMONG BUDAYA,,,,,,
8B91B70E3B9612E5E050640A29034DA5,DIKLAT FUNGSIONAL PARAMEDIK KARANTINA HEWAN,,,,,,
8B91B70E3B8A12E5E050640A29034DA5,DIKLAT FUNGSIONAL PARAMEDIK VETERINER,,,,,,
8B91B70E3BD212E5E050640A29034DA5,DIKLAT FUNGSIONAL PEKERJA SOSIAL,,,,,,
8B91B70E3BEE12E5E050640A29034DA5,DIKLAT FUNGSIONAL PELATIH OLAHRAGA,,,,,,
8B91B70E3B7512E5E050640A29034DA5,DIKLAT FUNGSIONAL PELELANG,,,,,,
8B91B70E3B6C12E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMBIMBING KEMASYARAKATAN,,,,,,
8B91B70E3BBA12E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMBIMBING KESEHATAN KERJA,,,,,,
8B91B70E3BA112E5E050640A29034DA5,DIKLAT FUNGSIONAL PEMBINA JASA KONSTRUKSI,,,,,,
