TABREF KURSUS,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
JENIS_KURSUS_ID,CEPAT_KODE,NAMA,,META DATA,,,,
8B91B70E3BFD12E5E050640A29034DA5,3033,DIKLAT FUNGSIONAL ANALIS KEBIJAKAN,,,,,,
8B91B70E3BFA12E5E050640A29034DA5,3030,DIKLAT FUNGSIONAL ANALIS KEPEGAWAIAN,,,,,,
8B91B70E3B9212E5E050640A29034DA5,2926,DIKLAT FUNGSIONAL ANALIS KETAHANAN PANGAN,,,,,,
8B91B70E3B9312E5E050640A29034DA5,2927,DIKLAT FUNGSIONAL ANALIS PERKARANTINAAN TUMBUHAN,,,,,,
8B91B70E3BA312E5E050640A29034DA5,2943,DIKLAT FUNGSIONAL ANALIS PERTAHANAN NEGARA,,,,,,
8B91B70E3C1012E5E050640A29034DA5,3052,DIKLAT FUNGSIONAL ANALIS TRANSAKSI KEUANGAN,,,,,,
8B91B70E3B7312E5E050640A29034DA5,2895,DIKLAT FUNGSIONAL ANALISIS ANGGARAN,,,,,,
8B91B70E3B6A12E5E050640A29034DA5,2886,DIKLAT FUNGSIONAL ANALISIS KEIMIGRASIAN,,,,,,
8B91B70E3B7412E5E050640A29034DA5,2896,DIKLAT FUNGSIONAL ANALISIS KEUANGAN PUSAT DAN DAERAH,,,,,,
8B91B70E3BDD12E5E050640A29034DA5,3001,DIKLAT FUNGSIONAL ANALISIS PASAR HASIL PERIKANAN,,,,,,
8B91B70E3B8812E5E050640A29034DA5,2916,DIKLAT FUNGSIONAL ANALISIS PASAR HASIL PERTANIAN,,,,,,
8B91B70E3BAD12E5E050640A29034DA5,2953,DIKLAT FUNGSIONAL APOTEKER,,,,,,
8B91B70E3C0712E5E050640A29034DA5,3043,DIKLAT FUNGSIONAL ARSIPARIS,,,,,,
8B91B70E3B8712E5E050640A29034DA5,2915,DIKLAT FUNGSIONAL ASESOR MANAJEMEN MUTU INDUSTRI,,,,,,
8B91B70E3B6B12E5E050640A29034DA5,2887,DIKLAT FUNGSIONAL ASISTEM PEMBIMBING KEMASYARAKATAN,,,,,,
8B91B70E3BAE12E5E050640A29034DA5,2954,DIKLAT FUNGSIONAL ASISTEN APOTEKER,,,,,,
8B91B70E3BE212E5E050640A29034DA5,3006,DIKLAT FUNGSIONAL ASISTEN INSPEKTUR MUTU HASIL PERIKANAN,,,,,,
8B91B70E3BEF12E5E050640A29034DA5,3019,DIKLAT FUNGSIONAL ASISTEN PELATIH OLAHRAGA,,,,,,
8B91B70E3BE312E5E050640A29034DA5,3007,DIKLAT FUNGSIONAL ASISTEN PEMBINA MUTU HASIL KELAUTAN DAN PERIKANAN,,,,,,
8B91B70E3BC812E5E050640A29034DA5,2980,DIKLAT FUNGSIONAL ASISTEN PENATA ANESTESI,,,,,,
8B91B70E3BDF12E5E050640A29034DA5,3003,DIKLAT FUNGSIONAL ASISTEN PENGELOLA PRODUKSI PERIKANAN TANGKAP,,,,,,
8B91B70E3BEC12E5E050640A29034DA5,3016,DIKLAT FUNGSIONAL ASISTEN PENGUJI PERANGKAT TELEKOMUNIKASI,,,,,,
8B91B70E3B7B12E5E050640A29034DA5,2903,DIKLAT FUNGSIONAL ASISTEN PENILAI PAJAK,,,,,,
8B91B70E3C0F12E5E050640A29034DA5,3051,DIKLAT FUNGSIONAL ASISTEN PERISALAH LEGISLATIF,,,,,,
8B91B70E3BE612E5E050640A29034DA5,3010,DIKLAT FUNGSIONAL ASISTEN PRANATA SIARAN,,,,,,
8B91B70E3BE712E5E050640A29034DA5,3011,DIKLAT FUNGSIONAL ASISTEN TEKNISI SIARAN,,,,,,
8B91B70E3BFB12E5E050640A29034DA5,3031,DIKLAT FUNGSIONAL ASSESSOR SDM APARATUR,,,,,,
