TABREF PROFESI,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
ID,NAMA,,META DATA,,,,
A5EB03E20721F6A0E040640A040252AD,A-I EKONOMI BISNIS TATA,,,,,,
A5EB03E20722F6A0E040640A040252AD,A-I EKONOMI BISNIS VOKAS,,,,,,
A5EB03E20728F6A0E040640A040252AD,A-I EKONOMI ILMU EKONOMI,,,,,,
A5EB03E20729F6A0E040640A040252AD,A-I EKONOMI KEUANGAN,,,,,,
A5EB03E20724F6A0E040640A040252AD,A-I EKONOMI KOPERASI,,,,,,
A5EB03E20725F6A0E040640A040252AD,A-I EKONOMI MANAJEMEN,,,,,,
A5EB03E2072AF6A0E040640A040252AD,A-I EKONOMI MANAJEMEN,,,,,,
A5EB03E20726F6A0E040640A040252AD,A-I EKONOMI PEMBANGUNAN,,,,,,
A5EB03E2072CF6A0E040640A040252AD,A-I EKONOMI PENDD.MANAJ.,,,,,,
A5EB03E20727F6A0E040640A040252AD,A-I EKONOMI PERUSAHAAN,,,,,,
A5EB03E2072EF6A0E040640A040252AD,A-I EKONOMI TATA NIAGA,,,,,,
A5EB03E207B9F6A0E040640A040252AD,A-I EKSAK IL PASTI & ALAM,,,,,,
A5EB03E207BAF6A0E040640A040252AD,A-I EKSAK.ILMU PENGET.ALAM,,,,,,
A5EB03E207B5F6A0E040640A040252AD,A-I EKSAKTA,,,,,,
A5EB03E207B6F6A0E040640A040252AD,A-I EKSAKTA BIOLOGI,,,,,,
A5EB03E207B7F6A0E040640A040252AD,A-I EKSAKTA FISIKA,,,,,,
A5EB03E207BBF6A0E040640A040252AD,A-I EKSAKTA GEOLOGI,,,,,,
A5EB03E207B8F6A0E040640A040252AD,A-I EKSAKTA ILMU ALAM,,,,,,
A5EB03E207BCF6A0E040640A040252AD,A-I EKSAKTA ILMU KIMIA,,,,,,
A5EB03E207BEF6A0E040640A040252AD,A-I EKSAKTA ILMU PASTI,,,,,,
A5EB03E207BDF6A0E040640A040252AD,A-I EKSAKTA KIMIA,,,,,,
A5EB03E207BFF6A0E040640A040252AD,A-I EKSAKTA MATEMATIKA,,,,,,
A5EB03E207C0F6A0E040640A040252AD,A-I EKSAKTA STATISTIK,,,,,,
A5EB03E207D6F6A0E040640A040252AD,A-I ELEKTRONIKA,,,,,,
A5EB03E20741F6A0E040640A040252AD,A-I FILSAFAT,,,,,,
A5EB03E20744F6A0E040640A040252AD,A-I FILSAFAT & SOSIOLOGI,,,,,,
A5EB03E20743F6A0E040640A040252AD,A-I FILSAFAT BARAT,,,,,,
A5EB03E20742F6A0E040640A040252AD,A-I FILSAFAT BHS & SAS.IND,,,,,,
A5EB03E20745F6A0E040640A040252AD,A-I FILSAFAT KEBUDAYAAN,,,,,,
A5EB03E20746F6A0E040640A040252AD,A-I FILSAFAT PENDIDIKAN,,,,,,
A5EB03E20782F6A0E040640A040252AD,A-I IPS,,,,,,
A5EB03E20784F6A0E040640A040252AD,A-I IPS ANTROP. BUDAYA,,,,,,
A5EB03E20785F6A0E040640A040252AD,A-I IPS ANTROP. SOSIAL,,,,,,
A5EB03E20783F6A0E040640A040252AD,A-I IPS ANTROPOLOGI,,,,,,
A5EB03E2078EF6A0E040640A040252AD,A-I IPS CIVICS HUKUM,,,,,,
A5EB03E2079EF6A0E040640A040252AD,A-I IPS DIK. KESEHATAN,,,,,,
A5EB03E207A2F6A0E040640A040252AD,A-I IPS DIK.LUAR SEKOLAH,,,,,,
A5EB03E2078FF6A0E040640A040252AD,A-I IPS HUKUM PMP,,,,,,
A5EB03E20795F6A0E040640A040252AD,A-I IPS ILMU BUMI,,,,,,
A5EB03E207A9F6A0E040640A040252AD,A-I IPS ILMU KESEJAHTERA,,,,,,
A5EB03E20796F6A0E040640A040252AD,A-I IPS ILMU MENDIDIK,,,,,,
A5EB03E207AAF6A0E040640A040252AD,A-I IPS ILMU PEMBANGUNAN,,,,,,
A5EB03E207ABF6A0E040640A040252AD,A-I IPS ILMU PENGETAHUAN,,,,,,
A5EB03E20798F6A0E040640A040252AD,A-I IPS KATAKETIK DIK.,,,,,,
A5EB03E207ACF6A0E040640A040252AD,A-I IPS KESEJAH. SOSIAL,,,,,,
A5EB03E20790F6A0E040640A040252AD,A-I IPS KEWARGANEGARAAN,,,,,,
A5EB03E207B2F6A0E040640A040252AD,A-I IPS O R & KESEHATAN,,,,,,
A5EB03E207B1F6A0E040640A040252AD,A-I IPS OLAH RAGA,,,,,,
A5EB03E207A4F6A0E040640A040252AD,A-I IPS P.MORAL PANCASILA,,,,,,
A5EB03E20797F6A0E040640A040252AD,A-I IPS PAEDAGOGIK,,,,,,
A5EB03E207ADF6A0E040640A040252AD,A-I IPS PEMB.MASY.DESA,,,,,,
A5EB03E207A1F6A0E040640A040252AD,A-I IPS PEND. LUAR BIASA,,,,,,
A5EB03E2079AF6A0E040640A040252AD,A-I IPS PEND.&PENGEMBANGAN,,,,,,
A5EB03E2079BF6A0E040640A040252AD,A-I IPS PEND.&PENGEMBANGAN,,,,,,
A5EB03E2079DF6A0E040640A040252AD,A-I IPS PEND.KEMASY.,,,,,,
A5EB03E2079FF6A0E040640A040252AD,A-I IPS PEND.KESEJAHTERAAN,,,,,,
A5EB03E207A3F6A0E040640A040252AD,A-I IPS PEND.MASYARAKAT,,,,,,
A5EB03E20799F6A0E040640A040252AD,A-I IPS PENDIDIKAN,,,,,,
A5EB03E2079CF6A0E040640A040252AD,A-I IPS PENDIDIKAN DASAR,,,,,,
A5EB03E207A0F6A0E040640A040252AD,A-I IPS PENDIDIKAN KHUSUS,,,,,,
A5EB03E207A5F6A0E040640A040252AD,A-I IPS PENDIDIKAN SEK.,,,,,,
A5EB03E207A6F6A0E040640A040252AD,A-I IPS PENDIDIKAN SOSIAL,,,,,,
A5EB03E207A7F6A0E040640A040252AD,A-I IPS PENDIDIKAN UMUM,,,,,,
A5EB03E207AFF6A0E040640A040252AD,A-I IPS PERPUSTAKAAN,,,,,,
A5EB03E207B0F6A0E040640A040252AD,A-I IPS PHSIKOLOGI,,,,,,
A5EB03E20791F6A0E040640A040252AD,A-I IPS PKK,,,,,,
A5EB03E20792F6A0E040640A040252AD,A-I IPS PKN DAN HUKUM,,,,,,
A5EB03E20793F6A0E040640A040252AD,A-I IPS PMP DAN KWNEGARAAN,,,,,,
A5EB03E20794F6A0E040640A040252AD,A-I IPS PSPB,,,,,,
A5EB03E207AEF6A0E040640A040252AD,A-I IPS PUBLISISTIK,,,,,,
A5EB03E20788F6A0E040640A040252AD,A-I IPS RAH .& ARKELOGI,,,,,,
A5EB03E20786F6A0E040640A040252AD,A-I IPS SEJARAH,,,,,,
A5EB03E20787F6A0E040640A040252AD,A-I IPS SEJARAH & ANTROP.,,,,,,
A5EB03E20789F6A0E040640A040252AD,A-I IPS SEJARAH & BUDAYA,,,,,,
A5EB03E2078AF6A0E040640A040252AD,A-I IPS SEJARAH GEOGRAFI,,,,,,
A5EB03E2078BF6A0E040640A040252AD,A-I IPS SEJARAH INDONESIA,,,,,,
A5EB03E2078CF6A0E040640A040252AD,A-I IPS SEJARAH PENDIDIKAN,,,,,,
A5EB03E2078DF6A0E040640A040252AD,A-I IPS SEJARAH PURBAKAL,,,,,,
A5EB03E207B3F6A0E040640A040252AD,A-I IPS SOSIAL,,,,,,
A5EB03E207B4F6A0E040640A040252AD,A-I IPS SOSIAL EKONOMI,,,,,,
A5EB03E207A8F6A0E040640A040252AD,A-I IPS TEORI & RAH PEND.,,,,,,
A5EB03E207E0F6A0E040640A040252AD,A-I KIMIA,,,,,,
A5EB03E207E2F6A0E040640A040252AD,A-I LISTRIK,,,,,,
A5EB03E207E4F6A0E040640A040252AD,A-I MESIN,,,,,,
A5EB03E2070CF6A0E040640A040252AD,A-I SENI,,,,,,
A5EB03E2070DF6A0E040640A040252AD,A-I SENI BAHASA DAN SENI,,,,,,
A5EB03E2070EF6A0E040640A040252AD,A-I SENI MENGGAMBAR,,,,,,
A5EB03E2070FF6A0E040640A040252AD,A-I SENI MUSIK,,,,,,
