Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
ID,NAMA,JABATAN_ASN,,
00,,,,
10,I.a,JPT UTAMA,,
11,I.a,JPT MADYA,,
12,I.b,JPT MADYA,,
21,II.a,JPT PRATAMA,,
22,II.b,JPT PRATAMA,,
31,III.a,ADMINISTRATOR,,
32,III.b,ADMINISTRATOR,,
41,IV.a,PENGAWAS,,
42,IV.b,PENGAWAS,,
51,V.a,,,
52,V.b,,,
99,NON,,,
,,,,
,,,,
META DATA,,,,
Name,Null?,Type,Parameter,Keterangan
ID,NOT NULL,VARCHAR2(2),,ID yang otomatis ter-generate saat data dibuat
NAMA,NOT NULL,VARCHAR2(5),,Nama Eselon
