TABREF JENIS_JABATAN_ID,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
ID,NAMA,,,
1,Jabatan Struktural,,,
2,Jabatan Fungsional Tertentu,,,
3,Jabatan Rangkap (Struktural dan Fungsional),,,
4,Jabatan Fungsional Umum,,,
,,,,
spgn_mst_jenis_jabatan,,,,
META DATA,,,,
Name,Null?,Type,Parameter,Keterangan
ID,NOT NULL,VARCHAR2(1),,ID yang otomatis ter-generate saat data dibuat
NAMA,NOT NULL,VARCHAR2(50),,Nama Jenis Jabatan
